full_reg,wrong_sire,wrong_dam
SIM2447832,0,
SIM2715056,,0
GVH1314752,,0
RAN1496950,,0
HER43579570,,0
SIM2919039,,0
RAN1692028,,0
HER43555773,,0
RAN3521887,,0
RAN3523839,,0
RAN3523859,,0
BIR622865015,0,
AAA15773274,0,
AAA16892647,0,
SIM2197879,0,
SIM2617688,0,
SIM2618854,,0
SIM2623661,0,
SIM2724482,0,
SIM2729743,0,
SIM2919018,,0
SIM2960191,0,
SIM2978978,,0
SIM2531081,0,
SIM2697325,0,
SIM2968336,0,
SIM2968453,,0
SIM2969665,,0
SIM3009940,,0
SIM3022818,0,
SIM3044009,,0
AAA17000030,0,
SIM2415609,0,
SIM2434519,0,
SIM2774222,0,
SIM2774223,0,
SIM2841815,0,
SIM3017926,,0
SIM3017960,0,
AAA17161623,,0
AAA16905548,,0
AAA17775998,,0
RDP405005,0,
SIM2614725,,0
SIM2723103,,0
SIM2749844,0,
SIM2880390,,0
SIM2723120,,0
SIM2723119,,0
GVH1280197,,0
GVH1283379,,0
GVH1023653,0,
GVH1331772,0,
GVH1314741,0,
GVH1304988,0,
GVH1250966,0,
GVH1096126,,0
RAN1736625,0,
RAN1736654,,0
SIM2767765,,0
SIM2767772,,0
SIM2892667,,0
SIM2975970,,0
SIM2985984,0,
AAA16898037,0,
SIM2925232,,0
SIM2635837,0,
SIM2662022,0,
RAN3558906,,0
RAN3708381,0,
SIM2681970,0,
SIM2681977,0,
SIM2681978,0,
SIM2764148,0,
SIM2764149,0,
SIM2802142,,0
SIM2802145,,0
RAN1733419,,0
RAN1681090,,0
RAN1746608,,0
RAN1749310,,0
RAN1619110,,0
RAN1618471,,0
RAN1685530,0,
RAN1746741,,0
RAN1746733,,0
RAN1685515,,0
RAN1100792,,0
AAA18120273,,0
AAA16703388,,0
AAA18170558,,0
BSH4207472,,0
BSH4207485,,0
BSH4185145,,0
AAA18454716,,0
SIM2721959,0,
HER43672567,,0
BSH4237991,,0
BSH4237994,,0
BSH4238108,,0
SIM2676604,,0
SIM2845147,,0
HER43616401,,0
RAN1384618,0,
RAN1431788,,0
RAN1496928,,0
RAN1496931,,0
RAN1550571,,0
RAN1551611,0,
RAN1580598,,0
RAN1589271,,0
RAN1589279,,0
RAN1623067,0,
RAN1699260,0,
RAN3521866,,0
SIM2962597,0,
RAN3710597,0,
BIR624034573,,0
BIR624353548,,0
BIR624353426,,0
BGRUB10353438,,0
AAA18786895,,0
AAA17755027,,0
SIM3237825,0,
SIM3237823,0,
SIM3105409,0,
SIM3105172,0,
SIM3105301,0,
SIM3105299,0,
SIM3237844,,0
SIM3237834,0,
SIM3237832,0,
SIM3237830,0,
SIM2853417,,0
SIM2728473,,0
BGRR10258579,,0
SIM2969879,0,
SIM3245225,0,
SIM3245217,,0
SIM3245219,0,
SIM3264503,,0
SIM3264500,,0
SIM3307931,,0
SIM2783546,0,
SIM3167376,,0
SIM3167431,,0
SIM3167313,,0
SIM3167385,,0
SIM3167409,,0
SIM2494771,0,
SIM2530488,0,
SIM2576872,0,
SIM3034890,,0
SIM3034837,,0
SIM2957529,,0
SIM2643712,,0
BSH4219835,,0
BSH4219839,,0
BSH4219829,,0
BSH4219842,,0
BSH4220165,,0
BSH4219840,,0
BSHAR4237417,,0
BSH4237517,,0
BSH4234052,,0
BSH4237836,,0
BSH4237003,,0
BSH4234053,,0
BSH4235017,,0
BGRR10316839,,0
RDP409508,0,
RDP439045,0,
RDP449347,,0
AAA18671607,,0
AAA19059167,,0
AAA18671608,,0
AAA19059168,,0
RAN3523821,0,
RAN3575426,,0
RAN3627519,0,
RAN3627511,0,
RAN3627521,0,
SIM3278430,0,
SIM3278491,0,
SIM3278493,0,
SIM3278489,0,
RDP494885,0,
SIM2910480,,0
SIM3306947,0,
SIM3255856,0,
RAN3872581,,0
RAN3872449,,0
SIM3396729,0,
RAN3871271,,0
RAN3871285,,0
RAN3871317,,0
RAN3871325,0,
RAN3871335,,0
RAN3871443,,0
RAN3872431,,0
RAN3872573,0,
SIM3395134,0,
SIM3395180,0,
SIM3395178,0,
AAA19139414,,0
AAA19171453,,0
SIM3386059,,0
AAA19161799,,0
SIM3404214,0,
SIM3404217,0,
SIM3404215,0,
SIM3404219,0,
SIM3404327,0,
SIM3405015,0,
SIM3404349,0,
SIM3404308,0,
SIM3404272,0,
SIM3404229,0,
SIM3404233,0,
SIM3404232,0,
SIM3404281,0,
SIM3404238,0,
SIM3404433,0,
SIM3404241,0,
SIM3404251,0,
BIR624842538,,0
BIR624842539,,0
SIM2774229,0,
SIM3380169,0,
SIM3380173,0,
SIM3380206,0,
SIM2540315,,0
SIM2974863,,0
SIM3104991,0,
RAN1506922,0,
RAN3550323,0,
